节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
中山东路珠江路东,吴中区,406路,0,0,0
金枫立交桥东,吴中区,406路,0,0,0
金枫立交西,吴中区,406路,0,0,0
,,,,,
官渎里立交桥,姑苏区,313路,1,1,1
苏安新村2,姑苏区,313路,1,0,3
向阳桥,姑苏区,313路,3,2,3
娄门,姑苏区,313路,4,3,7
北园新村北,姑苏区,313路,4,0,7
北园路,姑苏区,313路,5,0,9
齐门东,姑苏区,313路,6,3,12
齐门,姑苏区,313路,6,3,11
拙政园苏博,姑苏区,313路,6,2,8
苏州博物馆,姑苏区,313路,11,4,26
市立医院东区,姑苏区,313路,10,4,29
接驾桥,姑苏区,313路,8,1,17
察院场观前街西,姑苏区,313路,10,1,19
乐桥北,姑苏区,313路,10,4,19
养育巷,姑苏区,313路,7,1,15
学士街,姑苏区,313路,7,3,20
小日晖桥北,姑苏区,313路,2,1,9
爱河桥,姑苏区,313路,7,3,18
石路南,姑苏区,313路,6,2,16
朱家庄新村,姑苏区,313路,0,0,10
水云桥东,姑苏区,313路,0,0,6
水云桥西,姑苏区,313路,0,0,4
三元二村,姑苏区,313路,0,0,2
寒山寺南,姑苏区,313路,0,0,6
苏科大·江苏苏州干部学院,虎丘区,313路,0,0,6
何山花园,虎丘区,313路,0,0,0
水洲饭店,虎丘区,313路,0,0,0
和乐家园南,虎丘区,313路,0,0,0
狮山新苑,虎丘区,313路,0,0,0
狮山新苑西,虎丘区,313路,0,0,0
新草桥中学(招呼站),虎丘区,313路,0,0,0
苏州实验中学,虎丘区,313路,0,0,0
狮子山东,虎丘区,313路,0,0,0
御花园,虎丘区,313路,0,0,0
馨泰花园西出口,虎丘区,313路,0,0,0
新区一中,虎丘区,313路,0,0,0
新升新苑南,虎丘区,313路,0,0,0
,,,,,
官渎里立交换乘枢纽站,虎丘区,31路,0,0,1
官渎里立交桥,姑苏区,31路,1,1,1
齐门北,姑苏区,31路,2,2,2
平齐花苑,姑苏区,31路,2,1,8
平门东,姑苏区,31路,4,2,5
平门西,姑苏区,31路,4,4,6
平四路,姑苏区,31路,5,2,11
桃花坞,姑苏区,31路,6,4,15
光华中学,姑苏区,31路,6,4,12
皋桥,姑苏区,31路,14,5,32
阊门横街,姑苏区,31路,20,8,37
上塘街,姑苏区,31路,13,7,19
广济桥(石路),姑苏区,31路,6,3,13
朱家庄新村,姑苏区,31路,0,0,10
水云桥东,姑苏区,31路,0,0,6
水云桥西,姑苏区,31路,0,0,4
三元二村,姑苏区,31路,0,0,2
寒山寺南,姑苏区,31路,0,0,6
苏科大·江苏苏州干部学院,虎丘区,31路,0,0,6
何山花园,虎丘区,31路,0,0,0
金狮大厦,虎丘区,31路,0,0,0
锦华苑,虎丘区,31路,0,0,0
新地中心,虎丘区,31路,0,0,0
名馨花园东,虎丘区,31路,0,0,0
名馨花园,虎丘区,31路,0,0,0
明基医院,虎丘区,31路,0,0,0
明基医院西,虎丘区,31路,0,0,0
富士胶片,虎丘区,31路,0,0,0
山水华庭,吴中区,31路,0,0,0
金长路长江路西,吴中区,31路,0,0,0
木渎南行实验学校,吴中区,31路,0,0,0
花苑东路东,吴中区,31路,0,0,0
袁家浜,吴中区,31路,0,0,0
