前一节点,后一节点,线路名称,票价,区域属性,间距(km)
钱万里桥新市场北,和泰家园北,32路,2,姑苏区,
和泰家园北,白洋湾公园北,32路,2,姑苏区,
白洋湾公园北,苏城大道金湾街东,32路,2,姑苏区,
苏城大道金湾街东,花神苑北,32路,2,姑苏区,
花神苑北,虎丘北门,32路,2,姑苏区,
虎丘北门,虎丘书院,32路,2,姑苏区,
虎丘书院,虎阜花园西区北,32路,2,姑苏区,
虎阜花园西区北,塔影河桥,32路,2,姑苏区,
塔影河桥,清塘新村,32路,2,姑苏区,
清塘新村,惠济桥,32路,2,姑苏区,
惠济桥,桃花坞,32路,2,姑苏区,
桃花坞,光华中学,32路,2,姑苏区,
光华中学,宋仙洲巷,32路,2,姑苏区,
宋仙洲巷,景德路,32路,2,姑苏区,
景德路,养育巷,32路,2,姑苏区,
养育巷,乐桥,32路,2,姑苏区,
乐桥,市一中,32路,2,姑苏区,
市一中,相门,32路,2,姑苏区,
相门,苏大理想眼科医院,32路,2,姑苏区,
苏大理想眼科医院,苏大北校区东,32路,2,姑苏区,
苏大北校区东,东环路,32路,2,姑苏区,
东环路,韶山花园,32路,2,虎丘区,
韶山花园,百安居西,32路,2,虎丘区,
百安居西,紫藤街,32路,2,吴中区,
,,,,,
苏州市康复医院,市立医院北区,204路,2,姑苏区,
市立医院北区,山塘街,204路,2,姑苏区,
山塘街,金阊实验小学,204路,2,姑苏区,
金阊实验小学,广济桥(石路),204路,2,姑苏区,
广济桥(石路),石路南,204路,2,姑苏区,
石路南,爱河桥,204路,2,姑苏区,
爱河桥,慈济,204路,2,姑苏区,
慈济,儿童医院景德路院区,204路,2,姑苏区,
儿童医院景德路院区,察院场,204路,2,姑苏区,
察院场,玄妙观,204路,2,姑苏区,
玄妙观,狮子林南,204路,2,姑苏区,
狮子林南,平江路,204路,2,姑苏区,
平江路,东园,204路,2,姑苏区,
东园,北张家巷,204路,2,姑苏区,
北张家巷,娄门桥,204路,2,姑苏区,
娄门桥,娄门北,204路,2,姑苏区,
娄门北,苏安首末站,204路,2,姑苏区,
苏安首末站,苏安新村,204路,2,姑苏区,
苏安新村,向阳桥南,204路,2,虎丘区,
向阳桥南,东港新村,204路,2,虎丘区,
东港新村,现代大道西,204路,2,虎丘区,
现代大道西,相门新村,204路,2,虎丘区,
相门新村,徐家浜,204路,2,虎丘区,
徐家浜,苏大东校区2,204路,2,虎丘区,
苏大东校区2,夏家浜路,204路,2,虎丘区,
夏家浜路,星杭街金鸡湖大道,204路,2,虎丘区,
星杭街金鸡湖大道,黄天荡新村,204路,2,虎丘区,
黄天荡新村,苏大附中,204路,2,虎丘区,
苏大附中,北摆宴街,204路,2,虎丘区,
北摆宴街,南摆宴街,204路,2,虎丘区,
南摆宴街,群星苑一区东,204路,2,虎丘区,
群星苑一区东,群星路,204路,2,虎丘区,
群星路,群星一路,204路,2,虎丘区,
群星一路,群星二路,204路,2,虎丘区,
群星二路,群星三路,204路,2,虎丘区,
群星三路,通达路,204路,2,虎丘区,
通达路,金典花园,204路,2,吴中区,
金典花园,独墅岛,204路,2,吴中区,
,,,,,
虎丘路,观景新村东,虎丘专线,2,姑苏区,
观景新村东,和园路,虎丘专线,2,姑苏区,
