前一节点,后一节点,线路名称,票价,区域属性,间距(km)
孟庄公寓,泰山汇景花园,51路,2,泉山区,
泰山汇景花园,大学城,51路,2,泉山区,
大学城,科技广场,51路,2,泉山区,
科技广场,侯山窝,51路,2,泉山区,
侯山窝,奎园西门,51路,2,泉山区,
奎园西门,纪念塔,51路,2,泉山区,
纪念塔,市四院,51路,2,泉山区,
市四院,南京银行,51路,2,泉山区,
南京银行,戏马台,51路,2,云龙区,
戏马台,户部山地铁站,51路,2,云龙区,
户部山地铁站,建国小区,51路,2,云龙区,
建国小区,宣武市场(建国东路),51路,2,云龙区,
宣武市场(建国东路),徐州站(蓝天),51路,2,云龙区,
徐州站(蓝天),徐州站,51路,2,云龙区,
,,,,,
民馨园,西苑小区,69路,2,鼓楼区,
西苑小区,西苑农贸市场,69路,2,鼓楼区,
西苑农贸市场,西苑东口,69路,2,鼓楼区,
西苑东口,华润小区,69路,2,鼓楼区,
华润小区,工业学校黄河校区,69路,2,鼓楼区,
工业学校黄河校区,沈场,69路,2,鼓楼区,
沈场,苏堤北路立交桥,69路,2,鼓楼区,
苏堤北路立交桥,苏堤路小学,69路,2,鼓楼区,
苏堤路小学,永业花园小区,69路,2,鼓楼区,
永业花园小区,江苏四监,69路,2,鼓楼区,
江苏四监,铜沛路东口,69路,2,鼓楼区,
铜沛路东口,北路口,69路,2,鼓楼区,
北路口,金地商都,69路,2,鼓楼区,
金地商都,中山南路(中枢街),69路,2,泉山区,
中山南路(中枢街),中山饭店,69路,2,泉山区,
中山饭店,中医院,69路,2,泉山区,
中医院,云龙山,69路,2,泉山区,
云龙山,彭园西门,69路,2,泉山区,
彭园西门,泉山检察院,69路,2,泉山区,
泉山检察院,文化城,69路,2,泉山区,
文化城,泰山西坡,69路,2,泉山区,
泰山西坡,营房西门(金山东路),69路,2,泉山区,
营房西门(金山东路),营房东门,69路,2,泉山区,
营房东门,孟庄公寓,69路,2,泉山区,
孟庄公寓,泰山汇景花园,69路,2,泉山区,
泰山汇景花园,大学城,69路,2,泉山区,
大学城,矿业大学,69路,2,泉山区,
矿业大学,风华园公交首末站,69路,2,泉山区,
,,,,,
韩山村南,滨湖花园,73路,2,泉山区,
滨湖花园,湖滨市场,73路,2,泉山区,
湖滨市场,金府家园,73路,2,泉山区,
金府家园,纺南小区,73路,2,泉山区,
纺南小区,湖滨路口(二环西路),73路,2,泉山区,
湖滨路口(二环西路),建国路西口,73路,2,泉山区,
建国路西口,大福源超市,73路,2,泉山区,
大福源超市,永安小区,73路,2,泉山区,
永安小区,永安广场,73路,2,泉山区,
永安广场,市二院南,73路,2,泉山区,
市二院南,中山南路(中枢街),73路,2,泉山区,
中山南路(中枢街),金地商都,73路,2,泉山区,
金地商都,北路口,73路,2,泉山区,
北路口,火车西站,73路,2,鼓楼区,
火车西站,坝子街,73路,2,鼓楼区,
坝子街,市三院,73路,2,鼓楼区,
市三院,烟厂,73路,2,鼓楼区,
烟厂,四道街,73路,2,鼓楼区,
四道街,地下道(大庆路),73路,2,鼓楼区,
地下道(大庆路),二七宿舍,73路,2,鼓楼区,
二七宿舍,白云山,73路,2,鼓楼区,
白云山,下淀瑞博医院,73路,2,鼓楼区,
下淀瑞博医院,下淀地铁站,73路,2,鼓楼区,
下淀地铁站,二九宿舍,73路,2,鼓楼区,
二九宿舍,徐州物资市场,73路,2,鼓楼区,
徐州物资市场,京阜心血管医院,73路,2,鼓楼区,
京阜心血管医院,杨庄,73路,2,鼓楼区,
杨庄,二十四中,73路,2,鼓楼区,
二十四中,基桩公司,73路,2,鼓楼区,
基桩公司,鼓楼法院,73路,2,鼓楼区,
鼓楼法院,金山桥大厦,73路,2,鼓楼区,
金山桥大厦,招呼站,73路,2,鼓楼区,
招呼站,今日彩印,73路,2,鼓楼区,
今日彩印,省经贸学校,73路,2,鼓楼区,
