节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
纺南小区北门,泉山区,78路,0,0,0
湖滨路口(湖滨路),泉山区,78路,0,0,0
湖滨新村,泉山区,78路,0,0,0
湖滨新村西,泉山区,78路,0,0,0
湖滨花园(韩山路),泉山区,78路,0,0,0
韩山村南,泉山区,78路,0,0,0
,,,,,
焦山村,铜山区,701路,0,0,0
疾控中心,铜山区,701路,0,0,0
车管所,铜山区,701路,0,0,0
海宁皮草城,铜山区,701路,0,0,0
区政府北门,铜山区,701路,0,0,0
科技创业大厦,铜山区,701路,0,0,0
康乐园,铜山区,701路,0,0,0
铜山中医院,铜山区,701路,0,0,0
黄河小区,铜山区,701路,0,0,0
国税局,铜山区,701路,0,0,0
邮电局,铜山区,701路,0,0,0
师范学校,铜山区,701路,0,0,0
江苏师范大学,铜山区,701路,0,0,0
建筑学院,铜山区,701路,0,0,0
铜山中学,铜山区,701路,0,0,0
翟山市场,泉山区,701路,0,0,0
翟山,泉山区,701路,0,0,0
矿业大学,泉山区,701路,0,0,0
侯山窝,泉山区,701路,2,1,5
奎园西门,泉山区,701路,3,2,6
纪念塔,泉山区,701路,4,1,5
市四院,泉山区,701路,2,1,4
南京银行,云龙区,701路,0,0,5
妇幼保健院,云龙区,701路,2,1,7
和平桥(北),云龙区,701路,1,0,2
徐州站(蓝天),鼓楼区,701路,1,1,1
徐州站(朝阳),云龙区,701路,1,0,1
朝阳客运站,云龙区,701路,1,1,1
,,,,,
西苑人家,鼓楼区,608路,0,0,0
民乐园,泉山区,608路,0,0,0
西苑农贸市场,泉山区,608路,0,0,0
西苑东口,泉山区,608路,0,0,0
水漫桥,泉山区,608路,0,0,0
沈场市场,泉山区,608路,0,0,0
合群新村,泉山区,608路,0,0,0
合群桥,泉山区,608路,0,0,0
黄河新村,泉山区,608路,0,0,0
徐州博爱口腔医院,泉山区,608路,1,1,2
市二院,泉山区,608路,2,2,7
古彭大厦,泉山区,608路,4,3,6
中山南路(中枢街),泉山区,608路,5,3,11
市交通银行,泉山区,608路,5,2,13
中山饭店,泉山区,608路,5,2,7
中医院,泉山区,608路,8,2,14
师大北门,云龙区,608路,6,3,12
妇幼保健院,云龙区,608路,2,1,7
徐医附三院,云龙区,608路,0,0,0
骆驼山桥,云龙区,608路,0,0,1
强华骨科医院,云龙区,608路,1,0,2
楚王陵,云龙区,608路,1,0,2
君悦园,云龙区,608路,0,0,0
阳光花园,云龙区,608路,0,0,0
康馨园,云龙区,608路,0,0,0
绿地世纪城,云龙区,608路,0,0,0
绿地世纪城西,云龙区,608路,0,0,0
民祥园农贸市场,云龙区,608路,0,0,0
黄山新村东,云龙区,608路,0,0,0
东方人民医院,云龙区,608路,0,0,0
徐州医科大学,云龙区,608路,0,0,0
云苑路口,云龙区,608路,0,0,0
