前一节点,后一节点,线路名称,票价(元),间距(公里)
盖山镇政府新村,则徐广场,14路,1,
则徐广场,白湖亭,14路,1,
,,,,
淮安公交总站,淮安高沙,15路,1,
淮安高沙,淮安上下店路口,15路,1,
淮安上下店路口,福建理工学校,15路,1,
福建理工学校,农大社区,15路,1,
农大社区,农林大学,15路,1,
农林大学,福建建筑学校,15路,1,
福建建筑学校,洪塘地铁站,15路,1,
洪塘地铁站,旭辉左海岸(阵坂),15路,1,
旭辉左海岸(阵坂),西山,15路,1,
西山,金山开发区,15路,1,
金山开发区,天翔发展,15路,1,
天翔发展,马榕地铁站,15路,1,
马榕地铁站,瑞达电子,15路,1,
瑞达电子,北京金山,15路,1,
北京金山,上浦路口,15路,1,
上浦路口,福祥社区,15路,1,
福祥社区,祥坂路口,15路,1,
祥坂路口,宝龙城市广场,15路,1,
宝龙城市广场,工业路白马路口,15路,1,
工业路白马路口,博美诗邦,15路,1,
博美诗邦,省人民医院,15路,1,
省人民医院,文化宫,15路,1,
文化宫,学军路东,15路,1,
学军路东,市一医院,15路,1,
市一医院,十四桥,15路,1,
十四桥,安平小区,15路,1,
安平小区,闽江之心(台州步行街),15路,1,
闽江之心(台州步行街),排尾,15路,1,
排尾,亚峰,15路,1,
亚峰,排尾路长乐南路口,15路,1,
排尾路长乐南路口,亚峰农贸市场,15路,1,
亚峰农贸市场,鳌峰大桥,15路,1,
鳌峰大桥,金融街万达广场,15路,1,
金融街万达广场,鳌峰亚兴路口,15路,1,
鳌峰亚兴路口,鱼池,15路,1,
鱼池,鳌峰公园,15路,1,
鳌峰公园,公交鳌峰站,15路,1,
公交鳌峰站,鳌峰洲公交总站,15路,1,
,,,,
洪山梁厝路口,福道6号口,16路,1,
福道6号口,洪山桥,16路,1,
洪山桥,物构所,16路,1,
物构所,天骏小区,16路,1,
天骏小区,福大北门,16路,1,
福大北门,茶园山,16路,1,
茶园山,柳桥,16路,1,
柳桥,陆庄,16路,1,
陆庄,高峰桥,16路,1,
高峰桥,省话剧院,16路,1,
省话剧院,福二中,16路,1,
福二中,福州市政府,16路,1,
福州市政府,乌山路口,16路,1,
乌山路口,于山,16路,1,
于山,水部,16路,1,
水部,古田六一路口,16路,1,
古田六一路口,紫阳,16路,1,
紫阳,乐西(东),16路,1,
乐西(东),讲堂前,16路,1,
讲堂前,世欧广场,16路,1,
世欧广场,象园街道,16路,1,
象园街道,市青少年活动中心,16路,1,
市青少年活动中心,福州市老年大学,16路,1,
福州市老年大学,长乐南路,16路,1,
