节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
中国大运河博物馆东,,32路,0
杉湾花园公交首末站,,32路,0
,,,
通扬桥(古运河),,古运河水系,0
南门码头,,古运河水系,3
渡江桥(古运河),,古运河水系,9
徐凝门桥(古运河),,古运河水系,5
大水湾公园,,古运河水系,4
跃进桥(古运河),,古运河水系,3
解放桥(古运河),,古运河水系,4
便益门桥(古运河),,古运河水系,3
芍药圃(古运河),,古运河水系,0
五台山大桥(古运河),,古运河水系,1
,,,
南门码头,,古运河水系,3
通扬桥(古运河),,古运河水系,0
渡江桥(古运河),,古运河水系,9
徐凝门桥(古运河),,古运河水系,5
跃进桥(古运河),,古运河水系,3
解放桥(古运河),,古运河水系,4
便益门桥(古运河),,古运河水系,3
五台山大桥(古运河),,古运河水系,1
五台山大桥,,古运河水系,0
荷花池水系,,古运河水系,3
荷花池公园,,古运河水系,2
渡江桥,,古运河水系,10
七二三所,,古运河水系,8
康山文化园,,古运河水系,5
跃进桥东,,古运河水系,3
吴道台府,,古运河水系,6
便益门,,古运河水系,1
,,,
五台山大桥(古运河),,漕河水系,1
高桥(漕河),,漕河水系,1
史可法路(漕河交界),,漕河水系,2
玉带河与漕河交界,,漕河水系,1
宋夹城水系,,瘦西湖水系,1
瘦西湖水系,,瘦西湖水系,6
二道河(四望亭路),,二道河水系,3
二道河(文昌中路),,二道河水系,2
双虹桥(二道河),,二道河水系,1
,,,
便益门桥(古运河),,护城河水系,3
工艺美术馆(桥)(护城河),,护城河水系,3
联合桥(护城河),,护城河水系,5
玉器桥(护城河),,护城河水系,6
史公桥(护城河),,小秦淮河,4
小秦淮河与护城河交界,,小秦淮河,6
大东门桥(小秦淮河),,小秦淮河,7
珍园(小秦淮河),,小秦淮河,6
朱氏园(小秦淮河),,小秦淮河,7
钞关(小秦淮河),,小秦淮河,4
渡江桥(古运河),,古运河水系,9
新北门桥(护城河),,护城河水系,3
