前一节点,后一节点,线路名称,票价,区域属性
小官桥,五亭龙东门,25路,2,
五亭龙东门,扬子江北路双塘东路北,25路,2,
扬子江北路双塘东路北,江阳商贸城,25路,2,
江阳商贸城,扬子江北路江平东路,25路,2,
扬子江北路江平东路,扬子江北路司徒庙路南,25路,2,
扬子江北路司徒庙路南,鉴真路,25路,2,
鉴真路,大明寺,25路,2,
大明寺,观音山,25路,2,
观音山,下马桥,25路,2,
下马桥,汉广陵王墓,25路,2,
汉广陵王墓,瘦西湖悦园,25路,2,
瘦西湖悦园,干休所,25路,2,
干休所,湖畔御景,25路,2,
湖畔御景,佳竹苑,25路,2,
佳竹苑,邗沟路黄金坝路,25路,2,
邗沟路黄金坝路,大王庙,25路,2,
大王庙,梅花山庄,25路,2,
梅花山庄,五台山大桥,25路,2,
五台山大桥,便益门,25路,2,
便益门,东关古渡,25路,2,
东关古渡,吴道台府,25路,2,
吴道台府,跃进桥,25路,2,
跃进桥,跃进桥东,25路,2,
跃进桥东,武警医院,25路,2,
武警医院,运河西路曲江南路西,25路,2,
运河西路曲江南路西,扬州大桥西,25路,2,
扬州大桥西,扬州大桥东,25路,2,
扬州大桥东,运河东路明发路,25路,2,
运河东路明发路,运河东路金韵路,25路,2,
运河东路金韵路,公交四公司,25路,2,
,,,,
扬汽驾校,西部客运枢纽,26路,2,
西部客运枢纽,扬州火车站,26路,2,
扬州火车站,站南路文昌西路,26路,2,
站南路文昌西路,揽月公园北,26路,2,
揽月公园北,华鼎星城,26路,2,
华鼎星城,万豪西花苑,26路,2,
万豪西花苑,和美第北门,26路,2,
和美第北门,京华城南门,26路,2,
京华城南门,京华城怡景苑,26路,2,
京华城怡景苑,五彩世界西,26路,2,
五彩世界西,江苏银行,26路,2,
江苏银行,刘伟口腔,26路,2,
刘伟口腔,来鹤台广场,26路,2,
来鹤台广场,翠岗小区,26路,2,
