前一节点,后一节点,路线属性,票价(元),频率(分钟/趟)
公交大厦,坪山洞东侧,26路,1,15
坪山洞东侧,山海路口,26路,1,15
山海路口,东星,26路,1,15
东星,埭头,26路,1,15
埭头,同兴街,26路,1,15
同兴街,美仙路,26路,1,15
美仙路,东辅路中段,26路,1,15
东辅路中段,东辅路北段,26路,1,15
东辅路北段,体育街西段,26路,1,15
体育街西段,世界城北门,26路,1,15
世界城北门,泉州一院城东分院,26路,1,15
泉州一院城东分院,金凤屿路口,26路,1,15
金凤屿路口,医高专,26路,1,15
,,,,
西湖公园,邮电公寓,27路,1,10
邮电公寓,建南花园,27路,1,10
建南花园,西湖街西段,27路,1,10
西湖街西段,西湖街中段,27路,1,10
西湖街中段,西湖街东段,27路,1,10
西湖街东段,普明村,27路,1,10
普明村,大希夷,27路,1,10
大希夷,刺桐新村路口,27路,1,10
刺桐新村路口,泉州科技中学,27路,1,10
泉州科技中学,后茂路口,27路,1,10
后茂路口,圣福花苑,27路,1,10
圣福花苑,柑舍头,27路,1,10
柑舍头,田安路北段,27路,1,10
田安路北段,闽侨站,27路,1,10
闽侨站,青少年宫,27路,1,10
青少年宫,丰泽小区,27路,1,10
丰泽小区,后坂街口,27路,1,10
后坂街口,信和站,27路,1,10
信和站,泉秀街西段,27路,1,10
泉秀街西段,幸福街口,27路,1,10
幸福街口,鲤城公安分局,27路,1,10
鲤城公安分局,大隘门,27路,1,10
大隘门,土地后,27路,1,10
土地后,朵莲寺,27路,1,10
朵莲寺,展览城,27路,1,10
展览城,金浦供水公司,27路,1,10
金浦供水公司,清濛,27路,1,10
清濛,诺林商城,27路,1,10
诺林商城,清濛科技园,27路,1,10
清濛科技园,仙公山公园,27路,1,10
仙公山公园,御辇村,27路,1,10
御辇村,清濛唐厝村,27路,1,10
,,,,
温陵路公交首末站,海关大楼,28路,1,120
海关大楼,温陵路中段,28路,1,120
温陵路中段,九一路口,28路,1,120
九一街口,东湖公园,28路,1,120
东湖公园,东湖影院,28路,1,120
东湖影院,柑舍头,28路,1,120
柑舍头,圣福花苑,28路,1,120
圣福花苑,靶场路口,28路,1,120
靶场路口,瑞像岩,28路,1,120
瑞像岩,水流坑,28路,1,120
水流坑,天湖路口,28路,1,120
天湖路口,微波站,28路,1,120
微波站,福鼎村口,28路,1,120
福鼎村口,清源山柳洋村,28路,1,120
,,,,
曾林村,大乡村,29路,1,15
大乡村,坑头村,29路,1,15
坑头村,赤土村,29路,1,15
赤土村,元福路口,29路,1,15
元福路口,赤土村口,29路,1,15
赤土村口,泉州经贸学院,29路,1,15
泉州经贸学院,高新科技园,29路,1,15
高新科技园,市中医院,29路,1,15
市中医院,笋江路中段,29路,1,15
笋江路中段,笋江路东段,29路,1,15
笋江路东段,三千坛,29路,1,15
三千坛,蔬菜公司,29路,1,15
蔬菜公司,甲第巷口,29路,1,15
甲第巷口,新门菜市,29路,1,15
新门菜市,鲤城区政府,29路,1,15
鲤城区政府,九一街,29路,1,15
九一街,儿童医院,29路,1,15
儿童医院,泰和兴业,29路,1,15
泰和兴业,人民医院,29路,1,15
人民医院,公交大厦,29路,1,15
公交大厦,云吞山兜,29路,1,15
云吞山兜,泉州农校,29路,1,15
泉州农校,云谷工业区,29路,1,15
云谷工业区,妙云街口,29路,1,15
妙云街口,客运中心站东门,29路,1,15
客运中心站东门,客运中心站,29路,1,15
,,,,
清源山风景区,清源山风景区（910医院路口）,30路,1,30
清源山风景区（910医院路口）,花园头,30路,1,30
花园头,花博园,30路,1,30
花博园,北清东路中石油,30路,1,30
北清东路中石油,泉州科技中学,30路,1,30
泉州科技中学,后茂路口,30路,1,30
后茂路口,温陵北路口,30路,1,30
温陵北路口,盛达花园,30路,1,30
盛达花园,仁风社区,30路,1,30
仁风社区,东湖公园,30路,1,30
东湖公园,九一街口,30路,1,30
九一街口,儿童医院,30路,1,30
儿童医院,泰和兴业,30路,1,30
泰和兴业,人民医院,30路,1,30
人民医院,公交大厦,30路,1,30
公交大厦,云谷山兜,30路,1,30
