前一节点,后一节点,线路名称,票价,区域属性,间距(km)
丽景门,老集,20路,1,老城区,
老集,青年宫,20路,1,老城区,
青年宫,中州东路民主街口,20路,1,老城区,
中州东路民主街口,瀍河桥东,20路,1,老城区,
瀍河桥东,中州东路夹马营路口,20路,1,瀍河回族区,
中州东路夹马营路口,中州东路洛川街口,20路,1,瀍河回族区,
中州东路洛川街口,启明南路熙春路口,20路,1,瀍河回族区,
启明南路熙春路口,东花坛,20路,1,瀍河回族区,
,,,,,
中州东路公交停车场,恒大绿洲北口,23路,1,瀍河回族区,
恒大绿洲北口,恒大绿洲西门,23路,1,瀍河回族区,
恒大绿洲西门,九都东路机车厂路口,23路,1,瀍河回族区,
九都东路机车厂路口,九都东路三川大道口,23路,1,瀍河回族区,
九都东路三川大道口,九都东路启明南路口东,23路,1,瀍河回族区,
九都东路启明南路口东,九都东路桂园路口,23路,1,瀍河回族区,
九都东路桂园路口,九都东路华林路口东,23路,1,瀍河回族区,
九都东路华林路口东,洛邑古城,23路,1,瀍河回族区,
洛邑古城,洛八办,23路,1,老城区,
洛八办,九都东路饮马街口西,23路,1,老城区,
九都东路饮马街口西,定鼎立交桥东,23路,1,老城区,
定鼎立交桥东,定鼎立交桥西,23路,1,老城区,
定鼎立交桥西,九都路嘉豫门大街口西,23路,1,西工区,
九都路嘉豫门大街口西,九都路七一路口西,23路,1,西工区,
九都路七一路口西,体育场路九都路口,23路,1,西工区,
体育场路九都路口,体育场路凯旋路口,23路,1,西工区,
体育场路凯旋路口,王城广场南,23路,1,西工区,
王城广场南,中州中路八一路口,23路,1,西工区,
中州中路八一路口,中州中路解放路口,23路,1,西工区,
中州中路解放路口,纱厂南路中州中路口,23路,1,西工区,
纱厂南路中州中路口,唐宫西路芳林路口,23路,1,西工区,
唐宫西路芳林路口,王城大道汉屯路口,23路,1,西工区,
王城大道汉屯路口,健康西路王城大道口西,23路,1,西工区,
健康西路王城大道口西,健康西路纱厂西路口,23路,1,西工区,
健康西路纱厂西路口,嵩山路符家屯东路口,23路,1,西工区,
