前一节点,后一节点,线路名称,票价,区域属性,间距(km)
普吉,普吉农贸市场,C68路,1,五华区,
普吉农贸市场,公交西部修理公司(普吉路),C68路,1,五华区,
公交西部修理公司(普吉路),普吉路中段,C68路,1,五华区,
普吉路中段,王家桥(普吉路),C68路,1,五华区,
王家桥(普吉路),观音寺社区,C68路,1,五华区,
观音寺社区,交通学校,C68路,1,五华区,
交通学校,普吉路南口,C68路,1,五华区,
普吉路南口,黄土坡后街,C68路,1,五华区,
黄土坡后街,麻园(滇缅大道),C68路,1,五华区,
麻园(滇缅大道),虹山南路口(滇缅大道),C68路,1,五华区,
虹山南路口(滇缅大道),西站,C68路,1,五华区,
西站,建设路,C68路,1,五华区,
建设路,百汇商场1,C68路,1,五华区,
百汇商场1,潘家湾(西昌路),C68路,1,五华区,
,,,,,
紫骏苑小区,景泰街中段,Z5路,1,盘龙区,
景泰街中段,百丽园小区,Z5路,1,盘龙区,
百丽园小区,昆明德韩口腔医院(石闸立交桥),Z5路,1,盘龙区,
昆明德韩口腔医院(石闸立交桥),白龙路口(白云路),Z5路,1,盘龙区,
白龙路口(白云路),白云路东段,Z5路,1,盘龙区,
白云路东段,穿金路口(白云路),Z5路,1,盘龙区,
穿金路口(白云路),穿金路中段,Z5路,1,盘龙区,
穿金路中段,席子营社区,Z5路,1,盘龙区,
席子营社区,穿心鼓楼(穿金路),Z5路,1,盘龙区,
穿心鼓楼(穿金路),圆通街,Z5路,1,盘龙区,
圆通街,云南大学(青云街),Z5路,1,五华区,
云南大学(青云街),翠湖北路,Z5路,1,五华区,
翠湖北路,科技馆,Z5路,1,五华区,
科技馆,翠湖南路,Z5路,1,五华区,
翠湖南路,翠湖东门,Z5路,1,五华区,
,,,,,
大观楼(大观路),昆五中,22路,2,西山区,
昆五中,920医院,22路,2,西山区,
920医院,环西桥(大观路),22路,2,西山区,
环西桥(大观路),篆塘(大观路),22路,2,五华区,
篆塘(大观路),篆塘,22路,2,五华区,
篆塘,潘家湾(西昌路)1,22路,2,五华区,
潘家湾(西昌路)1,潘家湾,22路,2,五华区,
潘家湾,师范大学,22路,2,五华区,
师范大学,一二一大街(莲花池),22路,2,五华区,
一二一大街(莲花池),22路临时站,22路,2,五华区,
22路临时站,油管桥,22路,2,五华区,
油管桥,环城北路,22路,2,盘龙区,
环城北路,席子营(环城东路),22路,2,盘龙区,
席子营(环城东路),理工大学新迎校区,22路,2,盘龙区,
理工大学新迎校区,白龙路,22路,2,盘龙区,
白龙路,白龙路站A口(招呼站),22路,2,盘龙区,
白龙路站A口(招呼站),新迎路口(白龙路),22路,2,盘龙区,
新迎路口(白龙路),昆明德韩口腔医院,22路,2,盘龙区,
昆明德韩口腔医院,佳园小区(白龙路),22路,2,盘龙区,
佳园小区(白龙路),人与自然小区,22路,2,盘龙区,
人与自然小区,白龙路口(东三环),22路,2,盘龙区,
白龙路口(东三环),西南林业大学东门(东三环),22路,2,盘龙区,
西南林业大学东门(东三环),长地埂村,22路,2,盘龙区,
长地埂村,呼马山(东三环),22路,2,盘龙区,
呼马山(东三环),东三环路口(金瓦路),22路,2,盘龙区,
东三环路口(金瓦路),市委党校(金瓦路),22路,2,盘龙区,
市委党校(金瓦路),白沙河,22路,2,盘龙区,
白沙河,东郊黄土坡,22路,2,盘龙区,
东郊黄土坡,花之城广场,22路,2,盘龙区,
花之城广场,青龙村(照青路),22路,2,盘龙区,
青龙村(照青路),青龙山,22路,2,盘龙区,
青龙山,东部公交枢纽站,22路,2,盘龙区,
,,,,,
南屏街西口,艺术剧院,K13路,2,五华区,
艺术剧院,小西门(东风西路),K13路,2,五华区,
小西门(东风西路),潘家湾地铁站(小西门),K13路,2,五华区,
潘家湾地铁站(小西门),潘家湾(人民西路),K13路,2,五华区,
潘家湾(人民西路),市体育馆(环城西路),K13路,2,五华区,
市体育馆(环城西路),茭菱路口(环城西路),K13路,2,五华区,
茭菱路口(环城西路),西站,K13路,2,五华区,
西站,昆医附二院,K13路,2,五华区,
