节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
普吉,五华区,C68路,1,1
普吉农贸市场,五华区,C68路,0,0
公交西部修理公司(普吉路),五华区,C68路,0,0
普吉路中段,五华区,C68路,0,0
王家桥(普吉路),五华区,C68路,0,0
观音寺社区,五华区,C68路,0,0
交通学校,五华区,C68路,0,0
普吉路南口,五华区,C68路,0,0
黄土坡后街,五华区,C68路,1,1
麻园(滇缅大道),五华区,C68路,0,0
虹山南路口(滇缅大道),五华区,C68路,0,0
西站,五华区,C68路,0,0
建设路,五华区,C68路,4,15
百汇商场1,五华区,C68路,4,10
潘家湾(西昌路),五华区,C68路,0,3
,,,,
紫骏苑小区,盘龙区,Z5路,0,0
景泰街中段,盘龙区,Z5路,0,2
百丽园小区,盘龙区,Z5路,2,2
昆明德韩口腔医院(石闸立交桥),盘龙区,Z5路,0,0
白龙路口(白云路),盘龙区,Z5路,0,0
白云路东段,盘龙区,Z5路,0,0
穿金路口(白云路),盘龙区,Z5路,0,0
穿金路中段,盘龙区,Z5路,0,0
席子营社区,盘龙区,Z5路,0,0
穿心鼓楼(穿金路),盘龙区,Z5路,0,0
圆通街,五华区,Z5路,10,17
云南大学(青云街),五华区,Z5路,12,25
翠湖北路,五华区,Z5路,11,18
科技馆,五华区,Z5路,9,19
翠湖南路,五华区,Z5路,8,18
翠湖东门,五华区,Z5路,9,18
,,,,
大观楼(大观路),西山区,22路,2,2
昆五中,西山区,22路,0,0
920医院,西山区,22路,1,1
环西桥(大观路),五华区,22路,0,1
篆塘(大观路),五华区,22路,0,0
篆塘,五华区,22路,0,0
潘家湾(西昌路)1,五华区,22路,0,3
潘家湾,五华区,22路,0,0
师范大学,五华区,22路,3,12
一二一大街(莲花池),五华区,22路,3,11
22路临时站,五华区,22路,2,10
油管桥,盘龙区,22路,0,7
环城北路,盘龙区,22路,0,1
席子营(环城东路),盘龙区,22路,0,0
理工大学新迎校区,盘龙区,22路,0,0
白龙路,盘龙区,22路,0,0
白龙路站A口(招呼站),盘龙区,22路,0,0
新迎路口(白龙路),盘龙区,22路,0,0
昆明德韩口腔医院,盘龙区,22路,0,0
佳园小区(白龙路),盘龙区,22路,0,1
人与自然小区,盘龙区,22路,1,1
白龙路口(东三环),盘龙区,22路,0,1
西南林业大学东门(东三环),盘龙区,22路,0,0
长地埂村,盘龙区,22路,0,0
呼马山(东三环),盘龙区,22路,0,0
东三环路口(金瓦路),盘龙区,22路,0,0
市委党校(金瓦路),盘龙区,22路,0,0
白沙河,盘龙区,22路,0,0
东郊黄土坡,盘龙区,22路,1,1
花之城广场,盘龙区,22路,0,0
青龙村(照青路),盘龙区,22路,0,0
青龙山,盘龙区,22路,0,0
东部公交枢纽站,盘龙区,22路,0,0
,,,,
南屏街西口,五华区,K13路,12,25
艺术剧院,五华区,K13路,6,18
小西门(东风西路),五华区,K13路,3,10
潘家湾地铁站(小西门),五华区,K13路,0,4
潘家湾(人民西路),五华区,K13路,0,0
市体育馆(环城西路),五华区,K13路,0,0
茭菱路口(环城西路),五华区,K13路,0,0
西站,五华区,K13路,0,0
昆医附二院,五华区,K13路,1,1
春晖小区,五华区,K13路,0,0
西园路口(茭菱路),五华区,K13路,0,0
丰宁小区,五华区,K13路,0,0
西苑立交北口,五华区,K13路,0,0
省社科联(二环西路),五华区,K13路,0,0
二环西路口(科医路),五华区,K13路,0,0
科医路口(洪源路),五华区,K13路,0,1
洪家营,五华区,K13路,1,1
高新区车场2,五华区,K13路,0,2
科锦路,五华区,K13路,1,1
假日城市小区(昌源中路),五华区,K13路,0,0
滇缅大道路口(昌源北路),五华区,K13路,0,1
科发路口(昌源北路),五华区,K13路,0,0
科园路口(科发路),五华区,K13路,0,0
科新路口(科园路),五华区,K13路,0,0
科开路口(科园路),五华区,K13路,0,0
海源北路口(科开路),五华区,K13路,0,0
科开路口(科高路),五华区,K13路,0,0
商院路口(科高路),五华区,K13路,0,0
商院路口(海源北路),五华区,K13路,0,0
丽阳星城小区(海源北路),五华区,K13路,0,1
海源北路西口,五华区,K13路,0,1
海源寺北,五华区,K13路,0,1
海源寺(西三环西),五华区,K13路,0,1
海源寺车场,五华区,K13路,0,1
,,,,
端仕街口(庆云街),五华区,56路,8,20
威远街口(护国路),五华区,56路,5,13
威远街,五华区,56路,17,22
正义路步行街,五华区,56路,17,22
文庙(人民中路),五华区,56路,17,28
富春街口(人民中路),五华区,56路,4,25
潘家湾地铁站(小西门),五华区,56路,0,4
潘家湾(人民西路)1,五华区,56路,0,0
市体育馆(环城西路),五华区,56路,0,0
茭菱路口(环城西路),五华区,56路,0,0
